datetime,symbol,open,high,low,close,volume
2024-09-05 10:00:00,BMFBOVESPA:PETR4,38.650002,38.889999,38.299999,38.299999,26206600.0
2024-09-06 10:00:00,BMFBOVESPA:PETR4,38.369999,38.450001,37.470001,37.549999,32971700.0
2024-09-09 10:00:00,BMFBOVESPA:PETR4,37.84,38.25,37.610001,37.959999,30521800.0
2024-09-10 10:00:00,BMFBOVESPA:PETR4,37.919998,37.919998,37.0,37.330002,37263500.0
2024-09-11 10:00:00,BMFBOVESPA:PETR4,37.759998,37.830002,36.869999,37.290001,32907000.0
2024-09-12 10:00:00,BMFBOVESPA:PETR4,37.290001,37.32,36.75,36.869999,22103300.0
2024-09-13 10:00:00,BMFBOVESPA:PETR4,37.11,37.55,36.59,36.7,34729600.0
2024-09-16 10:00:00,BMFBOVESPA:PETR4,37.24,37.72,37.16,37.21,22614800.0
2024-09-17 10:00:00,BMFBOVESPA:PETR4,37.17,37.19,36.7,37.04,23443700.0
2024-09-18 10:00:00,BMFBOVESPA:PETR4,36.91,36.93,36.15,36.15,38777000.0
